,urls
0,https://www.wildberries.ru/catalog/17207144/detail.aspx
1,https://www.wildberries.ru/catalog/2715912/detail.aspx
2,https://www.wildberries.ru/catalog/2748616/detail.aspx
3,https://www.wildberries.ru/catalog/17419915/detail.aspx
4,https://www.wildberries.ru/catalog/8944425/detail.aspx
5,https://www.wildberries.ru/catalog/7072741/detail.aspx
6,https://www.wildberries.ru/catalog/2889126/detail.aspx
7,https://www.wildberries.ru/catalog/38643066/detail.aspx
8,https://www.wildberries.ru/catalog/16124850/detail.aspx
9,https://www.wildberries.ru/catalog/15610607/detail.aspx
10,https://www.wildberries.ru/catalog/66540406/detail.aspx
11,https://www.wildberries.ru/catalog/25704590/detail.aspx
12,https://www.wildberries.ru/catalog/16434374/detail.aspx
13,https://www.wildberries.ru/catalog/2715906/detail.aspx
14,https://www.wildberries.ru/catalog/13188106/detail.aspx
15,https://www.wildberries.ru/catalog/33583406/detail.aspx
16,https://www.wildberries.ru/catalog/22269949/detail.aspx
17,https://www.wildberries.ru/catalog/8073104/detail.aspx
18,https://www.wildberries.ru/catalog/6808560/detail.aspx
19,https://www.wildberries.ru/catalog/4161250/detail.aspx
20,https://www.wildberries.ru/catalog/10079509/detail.aspx
21,https://www.wildberries.ru/catalog/16601791/detail.aspx
22,https://www.wildberries.ru/catalog/6566164/detail.aspx
23,https://www.wildberries.ru/catalog/8013845/detail.aspx
24,https://www.wildberries.ru/catalog/2715909/detail.aspx
25,https://www.wildberries.ru/catalog/7718641/detail.aspx
26,https://www.wildberries.ru/catalog/14027088/detail.aspx
27,https://www.wildberries.ru/catalog/33528683/detail.aspx
28,https://www.wildberries.ru/catalog/13720759/detail.aspx
29,https://www.wildberries.ru/catalog/36811729/detail.aspx
30,https://www.wildberries.ru/catalog/19309819/detail.aspx
31,https://www.wildberries.ru/catalog/19309820/detail.aspx
32,https://www.wildberries.ru/catalog/24705852/detail.aspx
33,https://www.wildberries.ru/catalog/6808143/detail.aspx
