Слово;Частотность;Сортировка
14 февраля;341;Существительное
8 марта;400;Существительное
basic;58;Прилагательное
dance;33;Существительное
design;19;Существительное
абсолютный;37;Прилагательное
авторский;19;Прилагательное
ажурный;35;Прилагательное
аккуратный;68;Прилагательное
аксессуар;59;Существительное
активный;71;Прилагательное
актуальный;104;Прилагательное
акцент;47;Существительное
акция;17;Существительное
альтернатива;31;Существительное
аналог;16;Существительное
ансамбль;27;Существительное
ассиметричный;38;Прилагательное
ассортимент;34;Существительное
атласный;16;Прилагательное
бадлон;101;Существительное
база;49;Существительное
базовый;456;Прилагательное
бахрома;18;Существительное
бедро;51;Существительное
бежевый;236;Прилагательное
безупречный;64;Прилагательное
белый;257;Прилагательное
бельё;235;Существительное
бережный;30;Прилагательное
беременная;121;Прилагательное
бирка;39;Существительное
блестящий;21;Прилагательное
близкий;27;Прилагательное
бок;15;Существительное
большой;180;Прилагательное
бразилиана;20;Существительное
бренд;258;Существительное
бретельки;36;Существительное
брюки;438;Существительное
будущий;20;Прилагательное
быстрый;61;Прилагательное
бюстгальтер;32;Существительное
важно;18;Прилагательное
вариант;248;Существительное
вентилировать;20;Глагол
вертикальный;15;Прилагательное
верх;62;Существительное
верхний;53;Прилагательное
весна;29;Существительное
вечер;58;Существительное
вечеринка;258;Существительное
вечерний;567;Прилагательное
вещь;249;Существительное
взгляд;81;Существительное
взрослый;22;Прилагательное
вид;239;Существительное
визуально;86;Прилагательное
вино;19;Существительное
вискоза;211;Существительное
вкус;19;Существительное
влиться;48;Глагол
влюбить;38;Глагол
внешний;54;Прилагательное
внизу;61;Прилагательное
внимание;93;Существительное
водолазка;425;Существительное
возврат;23;Существительное
возвращаться;19;Глагол
возможность;19;Существительное
возможный;15;Прилагательное
волан;17;Существительное
воплощение;25;Существительное
вопрос;19;Существительное
ворот;30;Существительное
воротник;96;Существительное
восторг;31;Существительное
восхитительный;28;Прилагательное
восхищать;55;Глагол
впечатляющий;17;Прилагательное
вписаться;38;Глагол
время;130;Существительное
вставка;58;Существительное
встреча;69;Существительное
втачной;21;Прилагательное
выбирать;90;Глагол
выбор;211;Существительное
выглядеть;95;Глагол
выгодно;103;Прилагательное
выдача;21;Существительное
выделиться;101;Глагол
вызвать;18;Глагол
выйти;43;Глагол
выкупить;19;Глагол
выполнить;349;Глагол
выпускной;45;Существительное
вырез;403;Существительное
высокий;694;Прилагательное
высококачественный;50;Прилагательное
вытягивать;35;Глагол
выход;48;Существительное
выше;16;Прилагательное
гамма;27;Существительное
гарантировать;42;Глагол
гардероб;360;Существительное
гармонировать;15;Глагол
гармоничный;73;Прилагательное
гигроскопичный;20;Прилагательное
гимнастика;61;Существительное
гипюр;35;Существительное
главный;41;Прилагательное
гладкий;41;Прилагательное
глубокий;85;Прилагательное
голубой;27;Прилагательное
горловина;214;Существительное
город;17;Существительное
горох;82;Существительное
готовый;27;Прилагательное
грациозный;32;Прилагательное
грация;17;Существительное
грудь;105;Существительное
гусиный;31;Прилагательное
дарить;17;Глагол
движение;174;Существительное
дезодорант;19;Существительное
декольте;213;Существительное
декоративный;26;Прилагательное
деликатный;47;Прилагательное
деловой;204;Прилагательное
демисезонный;17;Прилагательное
держать;15;Глагол
деталь;18;Существительное
дефект;57;Существительное
деформироваться;52;Глагол
джинсовый;316;Прилагательное
дизайн;54;Существительное
дизайнер;42;Существительное
дизайнерский;31;Прилагательное
дискомфорт;26;Существительное
длина;76;Существительное
длинный;807;Прилагательное
добавить;124;Глагол
добавление;52;Существительное
довольный;26;Прилагательное
долгий;33;Прилагательное
долговечный;33;Прилагательное
должный;41;Прилагательное
домашний;117;Прилагательное
дополнение;17;Существительное
дополнить;122;Глагол
доставка;77;Существительное
достоинство;146;Существительное
достойный;21;Прилагательное
доступный;28;Прилагательное
драпировка;68;Существительное
друг;47;Существительное
дышащий;140;Прилагательное
